"","ORI","year","department_name","total_pop","homs_sum","rape_sum","rob_sum","agg_ass_sum","violent_crime","months_reported","violent_per_100k","homs_per_100k","rape_per_100k","rob_per_100k","agg_ass_per_100k","State","US_State"
"79","TX22001",1988,"Arlington, Texas",251712,13,110,568,697,1388,12,551.423849478769,5.16463259598271,43.7007373506229,225.654716501398,276.903763030765,"TX","Texas"
"80","TX22701",1988,"Austin, Texas",467423,43,247,1018,1200,2508,12,536.558962652672,9.19937615393338,52.8429281400359,217.789881969865,256.726776388838,"TX","Texas"
"81","TX07102",1988,"El Paso, Texas",501544,31,242,1088,3144,4505,12,898.226277255834,6.18091333960729,48.2510009091924,216.930119790088,626.864243216946,"TX","Texas"
"82","TX22012",1988,"Fort Worth, Texas",432889,97,489,3115,3625,7326,12,1692.35069498185,22.407591784499,112.96198332598,719.584004213551,837.397115657825,"TX","Texas"
"83","TXHPD00",1988,"Houston",1725421,440,1206,10049,8122,19817,12,1148.53128598759,25.5010226489651,69.8959848060271,582.408583180569,470.725695352033,"TXHPD","Texas"
"84","TXSPD00",1988,"San Antonio",935729,143,535,2859,1736,5273,12,563.517856131423,15.2822024325419,57.174673436433,305.537180102359,185.523800160089,"TXSPD","Texas"
"85","TX22001",1989,"Arlington, Texas",259796,11,88,552,899,1550,12,596.621964926327,4.23409136399329,33.8727309119463,212.474402993118,346.04073965727,"TX","Texas"
"86","TX22701",1989,"Austin, Texas",468907,31,235,1019,1320,2605,12,555.547262037035,6.61111904919312,50.1165476309801,217.313881004122,281.505714352739,"TX","Texas"
"87","TX07102",1989,"El Paso, Texas",515607,41,241,1139,3301,4722,12,915.813788408614,7.95179274137085,46.7410256261067,220.904681278571,640.216288762565,"TX","Texas"
"88","TX22012",1989,"Fort Worth, Texas",430481,113,454,2525,3576,6668,12,1548.96499497074,26.2497067234094,105.463423472813,586.553181208927,830.698683565593,"TX","Texas"
"89","TXHPD00",1989,"Houston",1713499,459,1152,9820,8097,19528,12,1139.65634062232,26.7872931352747,67.2308533591207,573.096336793894,472.541857334028,"TXHPD","Texas"
"90","TXSPD00",1989,"San Antonio",949691,168,477,2710,1898,5253,12,553.127280346976,17.6899644200061,50.2268632639459,285.35597367986,199.854478983164,"TXSPD","Texas"
"91","TX22001",1990,"Arlington, Texas",261721,8,139,586,1143,1876,12,716.793837712679,3.0566901394997,53.1099911738072,223.902552718353,436.724603681019,"TX","Texas"
"92","TX22701",1990,"Austin, Texas",465622,46,280,1461,1539,3326,12,714.313327119423,9.87925828246947,60.1346156324229,313.773833710606,330.525619493924,"TX","Texas"
"93","TX07102",1990,"El Paso, Texas",515342,34,256,1381,3440,5111,12,991.76857310291,6.59756045499882,49.6757493082264,267.977382010393,667.517881329292,"TX","Texas"
"94","TX22012",1990,"Fort Worth, Texas",447619,130,432,2801,4463,7826,12,1748.36188812361,29.042556281123,96.5106485649626,625.755385718658,997.053297558861,"TX","Texas"
